Block Name,P000,P000 Type,P000 Default,P001,P001 Type,P001 Default,P002,P002 Type,P002 Default,P003,P003 Type,P003 Default,P004,P004 Type,P004 Default,P005,P005 Type,P005 Default,P006,P006 Type,P006 Default,P007,P007 Type,P007 Default,P008,P008 Type,P008 Default,P009,P009 Type,P009 Default,P010,P010 Type,P010 Default,P011,P011 Type,P011 Default,P012,P012 Type,P012 Default,P013,P013 Type,P013 Default,P014,P014 Type,P014 Default,P015,P015 Type,P015 Default,P016,P016 Type,P016 Default,P017,P017 Type,P017 Default,P018,P018 Type,P018 Default,P019,P019 Type,P019 Default
MATCATH,number of inputs,integer,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATCATV,number of inputs,integer,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATDET,"Datatype (1=real double, 2=complex)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATDIAG,"Datatype (1=real double, 2=complex)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATDIV,"Datatype (1=real double, 2=complex)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATEIG,"Datatype (1=real double, 2=complex)",integer,1,"Decomposition type (1=eig values, 2=eig values+eig vectors)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATEXPM,"Datatype (1=real double, 2=complex)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATINV,"Datatype (1=real double, 2=complex)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATLU,"Datatype (1=real double, 2=complex)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATMAGPHI,decomposition type (1=Complex2MAG&PHI 2=MAG&PHI2Complex),integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATMUL,"Datatype (1=real double, 2=complex, 3=int32)",integer,1,"Multiplication rule (1, 2, 3)",integer,1,"Do on overflow (0=nothing, 1=saturate, 2=error)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATPINV,"Datatype (1=real double, 2=complex)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATRESH,"Datatype (1=real double, 2=complex)",integer,1,Input size,vector of integers,"[1,1]",Output size desired,vector of integers,"[1,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATSING,"Datatype (1=real double, 2=complex)",integer,1,"Decomposition type (1=singular values, 2=sing values+matrix U & V)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATSUM,"Datatype (1=real double, 2=complex)",integer,1,"Sum along (0=all, 1=lines, 2=columns)",integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATTRAN,"Datatype (1=real double, 2=complex)",integer,1,"Rule (1=.', 2=')",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATZCONJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATZREIM,decomposition type (1=Complex2Real&Imag 2=Real&Imag2Complex),integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXMIN,"(1=min, 2=max)",integer,2,"Number of input vectors (1, 2)",integer,2,"Use zero-crossing (0=no, 1=yes)",boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCLOCK_f,basic period (1/f),double,0.1,multiply by (n),integer,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFCLCK_f,basic period (1/f),double,0.1,multiply by (n),integer,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modulo_Count,Initial State (zero or positive number),double,0,Upper Limit (positive number),double,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUX,number of input ports or vector of sizes,integer,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUX_f,number of input ports or vector of sizes,double,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGTOPOS_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMOS,Width [m],double,0.00002,Length [m],double,0.000006,Transconductance parameter [A/(V*V)],double,0.000041,Zero bias threshold voltage [V],double,0.8,Bulk threshold parameter,double,1.144,Reduction of pinch-off region,double,0.7311,Narrowing of channel [m],double,-0.0000025,Shortening of channel [m],double,-0.0000015,Drain-Source-Resistance [Ohm],double,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPN,Bf : Forward beta,double,50,Br : Reverse beta,double,0.1,ls : Transport saturation current,double,1.00E-16,"Vak : Early voltage (inverse), 1/Volt",double,0.02,Tauf : Ideal forward transit time,double,1.20E-10,Taur : Ideal reverse transit time,double,5.00E-09,Ccs : Collector-substrat (ground) cap.,double,1.00E-12,Cje : Base-emitter zero bias depletion cap.,double,4.00E-13,Cjc : Base coll. zero bias depletion cap.,double,5.00E-13,Phie : Base-emitter diffusion voltage,double,0.8,Me : Base emmiter gradation exponent,double,0.4,Phic : Base collector diffusion voltage,double,0.8,Mc : Base-collector gradation exponent,double,0.33,Gbc : Base collector conductance,double,1.00E-15,Gbe : Base emitter conductance,double,1.00E-15,Vt : Voltage equivalent of temperature,double,0.02585,"EminMax : If x> EminMax, the exp(x) function is linearized",double,40,,,,,,,,,
NRMSOM_f,number of inputs,double,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpAmp,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUT_f,Port number,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTIMPL_f,Port number,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PerteDP,Tube length: L (m),double,10,Internal tube diameter: D (m),double,0.2,Coefficient of pressure loss-friction (S.U): lambda,double,0.03,Pipe inlet altitude: z1 (m),double,0,Pipe outlet altitude: z2 (m),double,0,"If> 0, imposed density fu fluid: p_rho (kg / m3)",double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PID,Proportional,double,1,Integral,double,1,Derivation,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMOS,Width[m],double,0.00005,Length [m],double,0.000006,Transconductance parameter [ A/(V*V) ],double,0.0000105,Zero bias threshold voltage [V],double,-1,Bulk threshold parameter,double,0.41,Reduction of pinch-off region,double,0.839,Narrowing of channel,double,-0.0000025,Shortening of channel,double,-0.0000021,Drain source resistance(ohm),double,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNP,Bf : Forward beta,double,50,Br ; Reverse beta,double,0.1,Is : Transport saturation current,double,1.00E-16,Vak : Early Voltage(inverse),double,0.02,Tauf : Ideal forward transit time,double,1.20E-10,Taur : Ideal reverse transit time,double,5.00E-09,Ccs : Collector substract cap,double,1.00E-12,Cje : Base emitter zero bias depletion cap,double,4.00E-13,Cjc : Base-coll zero bias depletion cap,double,5.00E-13,Phie : Base-emitter diffusion voltage,double,0.8,Me : Base emmiter gradation exponent,double,0.4,Phic : Base collector diffusion voltage,double,0.8,Mc : Base-collector gradation exponent,double,0.333,Gbc : Base collector conductance,double,1.00E-15,Gbe : Base emitter conductance,double,1.00E-15,Vt : Voltage equivalent of temperature,double,0.02585,"EminMax : If x> EminMax, the exp(x) function is linearized",double,40,,,,,,,,,
POSTONEG_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PotentialSensor,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWBLK_f,to the power of,double,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT,Number of inputs or sign vector,vector of integers,[1;-1],"Error on divide by zero (0=no, 1=yes)",boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PuitsP,Source pressure : P0 (Pa),double,100000,Source temperature : T0 (K),double,290,Source specific enthalpy : H0 (J/kg),double,100000,Condition: 1=fixed temperature / 2=fixed enthalpy,integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULSE_SC,Phase delay (secs) :,double,0.1,Pulse Width (% of period) :,double,30,Period (secs) :,double,1,Amplitude,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUANT_f,Step,double,0.1,Quantization Type (1-4),integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMP,Slope,double,0,Start Time,double,0,Initial Value,double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAND_m,Datatype (1=real double 2=complex),integer,1,flag,boolean,0,A,double,1,B,double,1,SEED,vector of doubles,"[2211,3303270]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RATELIMITER,max slope,integer,0,min slope,integer,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
READAU_f,Input File Name,filename,test.au,Buffer size,double,20,"Swap Mode (0:No, 1:Yes)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
READC_f,Time Record Selection,vector of integers,[],Outputs Record Selection,integer,1,Input File Name,filename,foo,Input Format,string,d,Record Size,double,1,Buffer Size,double,20,Initial Record Index,double,1,"Swap Mode (0:No, 1:Yes)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGISTER,Register initial condition,vector of integers,0;0;0;0;0;0;0;0;0;0,"Datatype (1=double, 3=int32)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELATIONALOP,"Operator (0:==, 1:~=, 2:<, 3:<=, 4:>, 5:>=)",integer,2,"Use zero-crossing (0=no, 1=yes)",boolean,0,"Datatype (1=double, 3=int32)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELAY_f,number of inputs,double,2,initial connected input,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistor,R (ohm),double,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFILE_f,Time Record Selection,vector of integers,[],Outputs Record Selection,double,1,Input File Name,string,foo,Input Format,string,"(7(e10.3,1x))",Buffer Size,double,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICC,"Type (1=cont, 2=disc)",integer,1,"Model (1=schr, 2=sign(cont)/inv(disc))",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOTCOEF,"Datatype (1=real double, 2=complex)",integer,1,Input row size,integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPHOLD_m,Datatype (1=real double 2=Complex 3=int32...),integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleCLK,Sample time,double,1,Offset,double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATURATION,Upper limit,integer,1,Lower limit,double,-1,zero crossing,boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAWTOOTH_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALAR2VECTOR,size of output (-1: if don't know),double,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scifunc_block_m,Input port sizes,,"[1,1]",Output port sizes,,"[1,1]",Input event ports sizes,,[],Output events ports sizes,,[],Initial continuous state,,[],Initial discrete state,,[],System parameters vector,,[],Initial firing vector (<0 for no firing),,[],"Is block always active (0:no, 1:yes)",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELECT_m,Datatype (1=real double 2=Complex 3=int32..),double,1,number of inputs,double,2,initial connected input,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELF_SWITCH,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIFT,"Data Type (3:int32, 4:int16, 5:int8,...)",integer,3,Number of Bits to Shift Left (Negative number to shift right),integer,0,"Shift Type (0: Arithmetic, 1: Circular)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigbuilder,Spline Method (0..7),double,3,x,vector of doubles,"[0,1,2]",y,vector of doubles,"[10,20,-30]",Periodic signal (y/n)?,yesno,y,Launch graphic window (y/n)?,yesno,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNUM,"Use zero-crossing (0=no, 1=yes)",boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINBLK_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SineVoltage,Amplitude (Volt),double,1,phase (rad),double,0,Frequency (Hz),double,1,Voltageoffset(V),double,`,Time offset (s),double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SourceP,Pressure : P0 (Pa),double,300000,Temperature : T0 (K),double,290,Specific enthalpy : H0 (J/kg),double,100000,Condition: 1=fixed temperature / 2=fixed enthalpy,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQRT,"Datatype (1=real double, 2=complex)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRFLIPFLOP,Initial Value,string,int8(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEP_FUNCTION,Step Time,double,1,Initial Value,double,0,Final Value,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMAT,"Datatype (1=real double, 2=complex)",integer,1,Starting row index,integer,1,Ending row index,integer,1,Starting column index,integer,1,Ending column index,integer,1,Input dimensions,vector of integers,"[1,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUM_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMATION,"Datatype (1=real double, 2=complex, 3=int32)",integer,1,"Number of inputs or sign vector (of +1, -1)",vector of integers,[1;-1],"Do on overflow (0=nothing, 1=saturate, 2=error)",integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPER_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switch,Resistance in On state (Ohm),double,0.01,Resistance in Off state (Ohm),double,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWITCH_f,number of inputs,double,2,connected input,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWITCH2_m,Datatype (1=real double 2=complex 3=int32..),double,1,"pass first input if: u2>=a(0), u2>a(1), u2~=a(2)",integer,0,threshold a,double,0,"use zero crossing: yes(1),no(0)",boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANBLK_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCLSS,A matrix,double,0,B matrix,double,1,C matrix,double,1,D matrix,double,0,Initial state,double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXT_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME_DELAY,Delay,double,1,Initial input,double,0,Buffer size,double,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKSCALE,Min value,double,-10,Max value,double,10,Normalization,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWS_c,Size of buffer,integer,128,Scilab variable name,string,A,"Inherit (no:0, yes:1)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRASH_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrigFun,Function,string,sin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VanneReglante,Cvmax,double,8005.42,p_rho,double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE_DELAY,Max delay,double,1,Initial input,double,0,Buffer size,integer,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VariableResistor,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VirtualCLK0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoltageSensor,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VsourceAC,Amplitude (Volt),double,220,Frequency (Hz),double,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VVsourceAC,Frequency (Hz),double,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRITEAU_f,Buffer Size,integer,2,"Swap Mode (0:No,1:Yes)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRITEC_f,Input Size,double,1,Output File Name,filename,foo,Output Format,string,c,Buffer Size,double,2,"Swap Mode (0:No,1:Yes)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCROSS_f,Input size,integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
