id,Block names,Initial Input Ports Explicit,Initial Input Ports Implicit,Initial Output Ports Explicit,Initial Output Ports Implicit,Initial Control Ports,Initial Command Ports,Initial Display Parameter,Variable Input Ports Explicit,Variable Input Ports Implicit,Variable Output Ports Explicit,Variable Output Ports Implicit,Variable Control ports,Variable Command Ports,Variable Display Parameter,P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019
155,NRMSOM_f,2,0,1,0,0,0,,0/n,0,1,0,0,0,,number of inputs,,,,,,,,,,,,,,,,,,,
114,OpAmp,0,2,0,1,0,0,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
178,OUT_f,1,0,0,0,0,0,1,1,0,0,0,0,0,1/n,Port number,,,,,,,,,,,,,,,,,,,
179,OUTIMPL_f,0,1,0,0,0,0,1,1,1,0,0,0,0,1/n,Port number,,,,,,,,,,,,,,,,,,,
9,PDE,5,0,2,0,0,0,PDE,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
211,PerteDP,0,1,0,1,0,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
10,PID,1,0,1,0,0,0,PID,1,0,1,0,0,0,PID,Proportional,Integral,Derivation,,,,,,,,,,,,,,,,,
115,PMOS,0,1,0,3,0,0,,1,1,3,3,0,0,,Width[m],Length [m],Transconductance parameter [ A/(V*V) ],Zero bias threshold voltage [V],Bulk threshold parameter,Reduction of pinch-off region,Narrowing of channel,Shortening of channel,Drain source resistance(ohm),,,,,,,,,,,
116,PNP,0,1,0,2,0,0,,1,1,2,2,0,0,,Bf : Forward beta,Br ; Reverse beta,Is : Transport saturation current,Vak : Early Voltage(inverse),Tauf : Ideal forward transit time,Taur : Ideal reverse transit time,Ccs : Collector substract cap,Cje : Base emitter zero bias depletion cap,Cjc : Base-coll zero bias depletion cap,Phie : Base-emitter diffusion voltage,Me : Base emmiter gradation exponent,Phic : Base collector diffusion voltage,Mc : Base-collector gradation exponent,Gbc : Base collector conductance,Gbe : Base emitter conductance,Vt : Voltage equivalent of temperature,"EminMax : If x> EminMax, the exp(x) function is linearized",,,
138,POSTONEG_f,1,0,0,0,0,1,+ to -,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
117,PotentialSensor,0,1,1,0,0,0,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
66,POWBLK_f,1,0,1,0,0,0,u ^ a,1,0,1,0,0,0,u ^ a,to the power of,,,,,,,,,,,,,,,,,,,
67,PROD_f,2,0,1,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
68,PRODUCT,2,0,1,0,0,0,,2,0,1,0,0,0,,Number of inputs or sign vector,,,,,,,,,,,,,,,,,,,
212,PuitsP,0,1,0,0,0,0,,1,1,0,0,0,0,,Pression de la source: P0 (Pa),Temperature de la source: T0(K),Enthalpie specifique de la source: H0 (J/kg),1:temperature fixee -2:enthalpie fixee : option_temperature,,,,,,,,,,,,,,,,
197,PULSE_SC,0,0,1,0,0,0,,0,0,1,0,0,0,,Phase delay (secs) :,Pulse Width (% of period) :,Period (secs) :,Amplitude,,,,,,,,,,,,,,,,
17,QUANT_f,1,0,1,0,0,0,,1,0,1,0,0,0,,Step,Quantization Type (1-4),,,,,,,,,,,,,,,,,,
198,RAMP,0,0,1,0,0,0,,0,0,1,0,0,0,,Slope,Start Time,Initial Value,,,,,,,,,,,,,,,,,
199,RAND_m,0,0,1,0,1,0,Random generator,0,0,1,0,1,0,Random generator,Datatype (1=real double 2=complex),flag,A,B,SEED,,,,,,,,,,,,,,,
18,RATELIMITER,1,0,1,0,0,0,Rate limiter,1,0,1,0,0,0,Rate limiter,max slope,min slope,,,,,,,,,,,,,,,,,,
200,READAU_f,0,0,1,0,1,0,Read from .au sound file,0,0,1,0,1,0,Read from .au sound file,Input File Name,Buffer size,"Swap Mode (0:No, 1:Yes)",,,,,,,,,,,,,,,,,
201,READC_f,0,0,1,0,1,0,Read from C binary file,0,0,1,0,1,0,Read from C binary file,Time Record Selection,Outputs Record Selection,Input File Name,Input Format,Record Size,Buffer Size,Initial Record Index,"Swap Mode (0:No, 1:Yes)",,,,,,,,,,,,
29,REGISTER,1,0,1,0,1,0,Shift register,1,0,1,0,1,0,Shift register,Register initial condition,"Datatype( 1=double, 3=int32)",,,,,,,,,,,,,,,,,,
2,RELATIONALOP,2,0,1,0,0,0,<,2,0,1,0,0,0,,"Operator : == (0), `=(1), <(2), <=(3), >(4), >=(5)",Use zero crossing,Datatype,,,,,,,,,,,,,,,,,
156,RELAY_f,2,0,1,0,2,0,Relay,2-n,0,1,0,2-n,0,Relay,number of inputs,initial connected input,,,,,,,,,,,,,,,,,,
118,Resistor,0,1,0,1,0,0,,1,1,1,1,0,0,,R (ohm),,,,,,,,,,,,,,,,,,,
202,RFILE_f,0,0,1,0,1,0,Read from input file,0,0,1,0,1,0,Read from input file,Time Record Selection,Outputs Record Selection,Input File Name,Input Format,Buffer Size,,,,,,,,,,,,,,,
98,RICC,3,0,1,0,0,0,RICC,3,0,1,0,0,0,RICC,"Type (1=Cont, 2=Disc)","Model ( 1=Schr, 2=sign(cont) inv(disc))",,,,,,,,,,,,,,,,,,
99,ROOTCOEF,1,0,1,0,0,0,ROOT COEF,1,0,1,0,0,0,ROOT COEF,"Datatype (1=real double, 2=Complex)",Input row size,,,,,,,,,,,,,,,,,,
30,SAMPHOLD_m,1,0,1,0,1,0,S / H,1,0,1,0,1,0,S / H,Datatype (1=real double 2=Complex 3=int32...),,,,,,,,,,,,,,,,,,,
203,SampleCLK,0,0,0,0,0,1,,0,0,0,0,0,1,,Sample time,Offset,,,,,,,,,,,,,,,,,,
19,SATURATION,1,0,1,0,0,0,,1,0,1,0,0,0,,Upper limit,Lower limit,zero crossing,,,,,,,,,,,,,,,,,
204,SAWTOOTH_f,0,0,1,0,1,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
157,SCALAR2VECTOR,1,0,1,0,0,0,SCALAR to VECTOR,1,0,1,0,0,0,SCALAR to VECTOR,size of output (-1: if don't know),,,,,,,,,,,,,,,,,,,
226,scifunc_block_m,1,0,1,0,0,0,Function: y1=sin(u1),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
158,SELECT_m,2,0,1,0,2,0,Selector,n,0,1,0,n,0,Selector,Datatype (1=real double 2=Complex 3=int32..),number of inputs,initial connected input,,,,,,,,,,,,,,,,,
159,SELF_SWITCH,1,0,1,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
134,SHIFT,1,0,1,0,0,0,Arithmetic shift 0,1,0,1,0,0,0,Arithmetic shift n,"Data Type (3:int32, 4:int16, 5:int8,...)",Number of Bits to Shift Left (Negative number to shift right),"Shift Type (0: Arithmetic, 1: Circular)",,,,,,,,,,,,,,,,,
205,Sigbuilder,0,0,1,0,0,1,Signal Builder,0,0,1,0,0,1,Signal Builder,Spline Method (0..7),x,y,Periodic signal (y/n)?,Launch graphic window (y/n)?,,,,,,,,,,,,,,,
69,SIGNUM,1,0,1,0,0,0,SIGN,1,0,1,0,0,0,SIGN,"use zero crossing (1:yes, 0:no)",,,,,,,,,,,,,,,,,,,
70,SINBLK_f,1,0,1,0,0,0,SIN,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
119,SineVoltage,0,1,0,1,0,0,1 V,1,1,1,1,0,0,n V,Amplitude (Volt),phase (rad),Frequency (Hz),Voltageoffset(V),Time offset (s),,,,,,,,,,,,,,,
71,SOM_f,3,0,1,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
213,SourceP,0,0,0,1,0,0,S,0,0,1,1,0,0,S,Pression de la source: P0 (Pa),Temperature de la source: T0(K),Enthalpie specifique de la source: H0 (J/kg),1:temperature fixee -2:enthalpie fixee : option_temperature,,,,,,,,,,,,,,,,
100,SQRT,1,0,1,0,0,0,SQRT,1,0,1,0,0,0,SQRT,"Datatype (1=real double, 2=Complex)",,,,,,,,,,,,,,,,,,,
135,SRFLIPFLOP,2,0,2,0,0,0,"S   Q, R   !Q",2,0,2,0,0,0,"S   Q, R   !Q",Initial Value,,,,,,,,,,,,,,,,,,,
206,STEP_FUNCTION,0,0,1,0,0,0,,0,0,1,0,0,0,,Step Time,Initial Value,Final Value,,,,,,,,,,,,,,,,,
101,SUBMAT,1,0,1,0,0,0,SUBMAT,1,0,1,0,0,0,SUBMAT,"Datatype (1=real double, 2=Complex)",Starting row index,Ending row index,Starting column index,Ending column index,Input Dimensions,,,,,,,,,,,,,,
72,SUM_f,3,0,1,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
73,SUMMATION,2,0,1,0,0,0,,2,0,1,0,0,0,,"Datatype ( 1= real double, 2=complex, 3=int32)","Number of inputs or sign vector( of +1, -1)","Do on overflow (0=Nothing, 1=Saturate, 2=Error)",,,,,,,,,,,,,,,,,
227,SUPER_f,1,0,1,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
120,Switch,1,1,0,1,0,0,,2,1,1,1,0,0,,Resistance in On state (Ohm),Resistance in Off state (Ohm),,,,,,,,,,,,,,,,,,
160,SWITCH_f,2,0,1,0,0,0,,n,0,1,0,0,0,,number of inputs,connected input,,,,,,,,,,,,,,,,,,
161,SWITCH2_m,3,0,1,0,0,0,,3,0,1,0,0,0,,Datatype (1=real double 2=complex 3=int32..),"pass first input if: u2>=a(0), u2>a(1), u2~=a(2)",threshold a,"use zero crossing: yes(1),no(0)",,,,,,,,,,,,,,,,
74,TANBLK_f,1,0,1,0,0,0,TAN,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
11,TCLSS,2,0,1,0,1,0,"Jump (A,B,C,D)",2,0,1,0,1,0,"Jump (A,B,C,D)",A matrix,B matrix,C matrix,D matrix,Initial state,,,,,,,,,,,,,,,
165,TEXT_f,0,0,0,0,0,0,...,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
12,TIME_DELAY,1,0,1,0,0,0,Continuous fix delay,1,0,1,0,0,0,Continuous fix delay,Delay,Initial input,Buffer size,,,,,,,,,,,,,,,,,
207,TIME_f,0,0,1,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
208,TKSCALE,0,0,1,0,1,0,TK Scale,0,0,1,0,1,0,TK Scale,Min value,Max value,Normalization,,,,,,,,,,,,,,,,,
180,TOWS_c,1,0,0,0,1,0,To workspace A [128],1,0,0,0,0/1,0,To workspace A [n],Size of buffer,Scilab variable name,"Inherit (no:0, yes:1)",,,,,,,,,,,,,,,,,
181,TRASH_f,1,0,0,0,1,0,Trash,1,0,0,0,1,0,Trash,,,,,,,,,,,,,,,,,,,,
75,TrigFun,1,0,1,0,0,0,Trig functon,,0,,0,,,,Function,,,,,,,,,,,,,,,,,,,
214,VanneReglante,1,1,0,1,0,0,,2,1,1,1,0,0,,Cvmax,p_rho,,,,,,,,,,,,,,,,,,
13,VARIABLE_DELAY,2,0,1,0,0,0,Variable Delay,2,0,1,0,0,0,Variable Delay,Max delay,Initial input,Buffer size,,,,,,,,,,,,,,,,,
121,VariableResistor,1,1,0,1,0,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
53,VirtualCLK0,0,0,0,0,1,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
122,VoltageSensor,0,1,1,1,0,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
123,VsourceAC,0,1,0,1,0,0,220 V ~50,1,1,1,1,0,0,n V ~ n,Amplitude (Volt),Frequency (Hz),,,,,,,,,,,,,,,,,,
124,VVsourceAC,1,1,0,1,0,0,1 V ~ 20,2,1,1,1,0,0,1 V ~ n,Frequency (Hz),,,,,,,,,,,,,,,,,,,
182,WRITEAU_f,1,0,0,0,1,0,Write AU to /dev/audio,1,0,0,0,1,0,Write AU to /dev/audio,Buffer Size,"Swap Mode (0:No,1:Yes)",,,,,,,,,,,,,,,,,,
183,WRITEC_f,1,0,0,0,1,0,Write to C binary file,1,0,0,0,1,0,Write to C binary file,Input Size,Output File Name,Output Format,Buffer Size,"Swap Mode (0:No,1:Yes)",,,,,,,,,,,,,,,
139,ZCROSS_f,1,0,0,0,0,1,Zcross,1,0,0,0,0,1,Zcross,Input size,,,,,,,,,,,,,,,,,,,
